Station,Name,State,Latitude,Longitude,MTS Jan,MTS Feb,MTS Mar,MTS Apr,MTS May,MTS Jun,MTS Jul,MTS Aug,MTS Sep,MTS Oct,MTS Nov,MTS Dec,Events Jan,Events Feb,Events Mar,Events Apr,Events May,Events Jun,Events Jul,Events Aug,Events Sep,Events Oct,Events Nov,Events Dec,MinTemp Jan,MinTemp Feb,MinTemp Mar,MinTemp Apr,MinTemp May,MinTemp Jun,MinTemp Jul,MinTemp Aug,MinTemp Sep,MinTemp Oct,MinTemp Nov,MinTemp Dec
USC00396948,RAPID CITY WFO,SD,44.0728,-103.2108,5.5,7.4,11.8,8.8,2,0,0,0,0.1,2.3,6.2,5.2,2.1,1.9,3.2,1.9,0.4,0,0,0,0,1.1,1.5,1.8,16.4,18.1,24.9,34,45,54.2,61.7,59.8,50,37.6,27.5,18.1
USC00397052,REDFIELD,SD,44.8656,-98.5253,6.8,6.8,8.3,3.2,0,0,0,0,0,0.4,5.1,6.9,2.6,2.4,2.2,1,0,0,0,0,0,0.2,1.6,2.4,3.1,8.2,20.5,32.4,44.8,55.1,60.2,57.5,47.1,33.5,20.5,7.3
USC00397062,REDIG 11 NE,SD,45.3767,-103.3675,6.7,7.1,9.7,7.8,1.9,0,0,0,0.2,2.7,7.9,6.6,2.9,3.3,3.3,1.9,0.4,0,0,0,0.1,1,2.7,3,9,12.5,20.4,30.3,40.8,49.8,56.1,54.3,43.9,32.1,20,9.9
USC00397073,RED OWL,SD,44.6978,-102.5533,4.5,6.9,10.6,6.6,1.2,0,0,0,0,1.8,7,6,2.9,2.4,3.1,2,0.3,0,0,0,0,0.5,2.1,2.3,9.3,12.3,20.5,30.1,41.1,51.2,57.5,54.4,43.5,31.4,19.4,9.4
USC00397277,ROSCOE,SD,45.4525,-99.3358,7.6,8.1,7.4,4.7,0.1,0,0,0,0,1.5,6.8,8.3,2.6,2.5,2.1,1.4,0,0,0,0,0,0.4,2.2,2.6,3.3,7.6,18.3,30.6,43,53.5,58.4,55.8,45.7,33.1,19.5,7.1
USC00397545,SELBY,SD,45.51,-100.0356,3.4,6.4,7.2,2.9,0,0,0,0,0,0.7,4.4,6.1,1.6,2.4,2.2,1.2,0,0,0,0,0,0.3,2.1,1.9,4,8.5,19.9,32.6,45.3,55,60.6,58.1,47.7,33.8,20.1,7.8
USC00397742,SISSETON,SD,45.6656,-97.0392,8.4,8.4,8.3,3.8,0,0,0,0,0,0.7,7.3,7.6,2.9,3,2.3,1.1,0,0,0,0,0,0.3,2.1,2.5,4.2,9.4,21.1,33.4,45.8,55.3,60.7,58.3,48.7,36.4,22.3,8.9
USC00397992,STEPHAN 2 NW,SD,44.2661,-99.4431,4.3,8.1,8.4,4.2,0,0,0,0,0.1,0.9,4.9,6.1,1.6,2.1,2.3,1.4,0,0,0,0,0,0.3,1.5,1.9,4.2,8.5,19.1,31.1,43.3,53.5,59.3,57.1,46,32.7,19.1,6.7
USC00398116,SUMMIT 1 W,SD,45.3036,-97.0625,9.3,10.8,10.4,6.2,0,0,0,0,0,1.3,4.6,9.9,3.6,3.6,2.7,1.6,0,0,0,0,0,0.6,2.6,3.3,2,7.2,18.7,31.1,43.2,52.5,57.8,56.2,47,34.2,19.9,6.4
USC00398307,TIMBER LAKE,SD,45.4283,-101.0764,5.6,6.7,7.6,5.3,0.2,0,0,0,0,1.1,5.9,7.5,2.3,2.5,2.5,1.6,0.1,0,0,0,0,0.5,2.1,2.4,7.8,12.1,21.5,32.7,44,53.6,59.7,57.9,47.4,35,21.2,9.9
USC00398472,TYNDALL,SD,42.9919,-97.8703,5.8,6.2,6,3.5,0,0,0,0,0,0.6,6.4,7.6,1.9,2.1,1.9,0.9,0,0,0,0,0,0.2,1.6,2.3,9.1,13.7,23.7,35.8,48.2,58.3,63.4,61.2,50.8,37.4,24.3,12.1
USC00398622,VERMILLION 2 SE                    HCN,SD,42.7625,-96.9194,6.2,6.5,5.1,2.5,0,0,0,0,0,0.9,5.1,6.6,2.3,2.1,1.5,0.7,0,0,0,0,0,0.5,1.9,2.5,10.7,15,25.6,36.8,48.8,59,64,61.6,51.8,39,25.8,13.2
USC00398652,VICTOR 4 NNE,SD,45.9231,-96.7864,9.8,8.1,9.5,5,0,0,0,0,0,0.9,8.2,8.1,3.6,3.1,2.7,1.2,0,0,0,0,0,0.4,2.3,3.6,0.6,5.6,18.4,31.6,44.7,55.1,59.5,56.2,46.6,34.1,20.6,6.4
